Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
Z4,mount_1,Mounting_Holes:MountingHole_3mm,1,-,-,-,-
Z5,mount_2,Mounting_Holes:MountingHole_3mm,1,-,-,-,-
Z6,mount_3,Mounting_Holes:MountingHole_3mm,1,-,-,-,-
J8,Conn_01x04,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,1,-,DNP,-,DNP
C15,TANTALUM-SMD-10UF-16V-10%_AVX-A_,Seeed-Capacitor:AVX-A,1,-,TAJA106K016RNJ,-,302020002
C12;C10;C13;C11;C2;C1;C16;C18;C19;C20,100nF,Seeed-Capacitor:C0805,10,-,CC0805KRX7R9BB104,-,302010165
C3,10nF,Seeed-Capacitor:C0805,1,-,CC0805JRX7R9BB103,-,302010175
C17,16V_100nF,Seeed-Capacitor:C0805,1,-,CC0805KRX7R9BB104,-,302010165
C7;C14,16V_10uF,Seeed-Capacitor:C0805,2,-,CC0805KKX5R8BB106,-,302010178
C6;C4,16V_4.7uF,Seeed-Capacitor:C0805,2,-,CC0805KKX5R8BB475,-,302010146
C5,4.7uF,Seeed-Capacitor:C0805,1,-,CC0805KKX5R8BB475,-,302010146
J1,JST-SMD,Seeed-Connector:HW2-SMD-1.0-90D,1,-,JST 2P-1.0,-,320110054
J2;J3;J5;J4;J6;J7,Grove-SMD,Seeed-Connector:HW4-SMD-2.0,6,-,1125S-SMT-4P,-,320110030
D2;D3;D4;D1;D7;D8;D9;D6,SMD-RGB-LED-4P'WS2812B',Seeed-Diode:LED4-SMD-5050,8,-,WS2812B,-,304990003
D5,SS0520,Seeed-Diode:SOD-123,1,-,SS0520-7-F,-,304020032
U6,PMIC-AIC1896GG_SOT23-6_,Seeed-IC:SOT-23-6,1,-,AIC1896CG,-,310030104
L1,10uH,Seeed-Inductor:SMD-2P-L6.0XW6.0XH3.0MM,1,-,CSAB0630-100M,-,303010016
D13,SMD-LED-CLEAR-BLUE_0603_,Seeed-LED:LED-0603,1,-,19-217-BHC-ZL1M2RY-3T,-,304090045
D12,SMD-LED-CLEAR-GREEN_0805_,Seeed-LED:LED-0805,1,-,17-215SYGC/S530-E2/TR8,-,304090057
D10,SMD-LED-CLEAR-RED_0805_,Seeed-LED:LED-0805,1,-,17-215SURC/S530-A2/TR8,-,304090046
D11,SMD-LED-CLEAR-YELLOW_0805_,Seeed-LED:LED-0805,1,-,17-215UYC/S530-A3/TR8,-,304090039
U5,MPU-9250,Seeed-OPL-2017-01-Sensor-camilo:MPU-9250,1,-,MPU-9250,-,314990005
U2,QG-2864KSWEG02,Seeed-OPL-2017-01-display-edward:OLED27P-0.6-BEND,1,-,QG-2864KSWEG02,-,308020028
R14,16k,Seeed-Resistor:R0603,1,-,RC0603FR-0716KL,-,301010158
R15,2.2k,Seeed-Resistor:R0603,1,-,RC0603JR-072K2L,-,301010124
R9,220,Seeed-Resistor:R0603,1,-,RC0603JR-07220RL,-,301010163
R6;R7;R8,510,Seeed-Resistor:R0603,3,-,RC0603JR-07510RL,-,301010157
R4,560k,Seeed-Resistor:R0603,1,-,RC0603JR-07560KL,-,301010230
R12;R10;R13;R11;R5;R3;R1;R2,10k,Seeed-Resistor:R0805,8,-,RC0805FR-0710KL,-,301010361
SW5;SW6,SMD_Push_Dual_Flat,Seeed-Switch:SW4-SMD-5.2X5.2X1.5MM,2,-,SKQGADE010,-,311020017
SW1;SW3;SW2;SW4,SMD_Push_Dual,Seeed-Switch:SW4-SMD-6.0X6.0X5.0MM,4,-,DTSM-62K-S-V-T/R(SN431),-,311020004
Z2,kicad,Symbols:KiCad-Logo2_6mm_SilkScreen,1,-,-,-,-
Z1,oshw,Symbols:OSHW-Logo2_7.3x6mm_SilkScreen,1,-,-,-,-
U1,SN74LVC1T45_DBV_6,levelshifter:SN74LVC1T45DBVR,1,-,DNP,-,DNP
Z3,ncss,logos:ncss,1,-,-,-,-
J9,microbit_edge,microbit:microbit_edge,1,-,-,-,-
U3,NRF51822_SKB360,nrf51822:nrf51822_skb360,1,-,-,-,-
U4,PyBoard,pyboard:pyboard,1,-,ST-PH-254-0087,-,320020010
C9,1nF,seeed-fixed:C0603,1,-,CC0603KRX7R9BB102,-,302010141
C8,33nF,seeed-fixed:C0603,1,-,CC0603KRX7R9BB333,-,302010088
